"uid"	"cat"	"name"	"screen_name"	"description"	"verified"	"location"	"lat"	"lon"	"country"	"countryID"	"created_at"	"followers_count"	"friends_count"	"statuses_count"	"favourites_count"	"listed_count"
293602749	1.0	"Iris Caballero"	"QuieroUSA"	"#CruzCrew Ted Cruz & Allen West 2016!"	False	""	""	""	""	""	"2011-05"	825.0	350.0	17724.0	14297.0	55.0
2734365015	1.0	"mrs. bernie sanders"	"ElanorRoose"	"(ง’̀-‘́)ง"	False	""	""	""	""	""	"2014-08"	74.0	71.0	409.0	286.0	1.0
45025729	0.0	"Graeme Swann"	"Swannyg66"	"cricketer, documentary maker, lead singer, worldwide trend leader in hairstyles for men who look fifteen years younger than they actually are."	True	"Nottingham"	52.9536	-1.15047	"United Kingdom"	"2635167"	"2009-06"	772572.0	610.0	6923.0	29.0	4451.0
183825988	0.0	"Only The Truth"	"1johnfive"	"Love The Lord, Conservative, 3rd Sqn 5th Cav Vietnam Vet, Registered Independent as I'm fed up with the GOP, support the Tea Party. Molon Labe."	False	""	""	""	""	""	"2010-08"	1410.0	1372.0	10785.0	17.0	27.0
954537696	0.0	"jennifer"	"FourEyedQueef"	"burgers beers bushes"	False	"chicago"	41.85003	-87.65005	"United States"	"6252001"	"2012-11"	11263.0	946.0	9624.0	46726.0	282.0
187838951	0.0	"Asma Khalid"	"asmamk"	"Reporter @NPR. Covering the intersection of demographics + politics for the 2016 campaign. Sometimes DC, Sometimes Boston, Sometimes somewhere in America..."	True	""	""	""	""	""	"2010-09"	8011.0	2880.0	7051.0	2201.0	242.0
13134132	0.0	"Jon Culver"	"jonculver"	"Impatient optimist, Dad joke sommelier. Technologist @BernieSanders. Previously @MyFitcode @SimplyMeasured @BKWLD @Microsoft @AuburnU"	False	"Seattle, Washington"	47.60621	-122.33207	"United States"	"6252001"	"2008-02"	666.0	2.0	11153.0	3244.0	55.0
142082006	0.0	"Fathers 4 Trump"	"Fathers4Trump"	"Tracking the overwhelming support for Donald Trump by family patriarchs. Recording the horror of their children. #Trump2016"	False	"Trump Tower"	41.8889	-87.6264	"United States"	"6252001"	"2010-05"	2877.0	797.0	20573.0	106.0	37.0
17976923	0.0	"CathyMcMorrisRodgers"	"cathymcmorris"	"Proudly serving Washington's beautiful 5th District in Congress, Chair of the House Republican Conference. Mom of three."	True	"Spokane, WA & Washington, DC"	""	""	""	""	"2008-12"	25013.0	5226.0	4576.0	812.0	1542.0
44579901	1.0	"Ella Ryan"	"zzelladonatella"	"Web developer, ex-nomad, current Brooklynite. Loves chocolate. Hates climate change deniers. Part of @teambernieny Ops team."	False	"Brooklyn"	40.6501	-73.94958	"United States"	"6252001"	"2009-06"	849.0	893.0	1871.0	349.0	44.0
2604799262	0.0	"Conservative Lad"	"GOP_Lad"	"Cleveland Cavs, Indians, & Browns. I believe in capitalism, life, and most importantly, America. Conservative Republican"	False	"The Ohio State University"	39.99543	-83.01717	"United States"	"6252001"	"2014-07"	2323.0	2250.0	226.0	38.0	10.0
110445334	0.0	"Megyn Kelly"	"megynkelly"	"Happily married to Doug, crazy in love with my children Yates, Yardley, and Thatcher, and anchor of The Kelly File on Fox News Channel"	True	""	""	""	""	""	"2010-02"	1583309.0	1211.0	8878.0	13.0	10438.0
2560114934	0.0	"Cartonise"	"EST_Ceesi"	"• 17 • #Bernie2016 ❤ più dolce e buona!

 •political science & international-journalism•"	False	"devils-den (Michi-gan)"	""	""	""	""	"2014-06"	724.0	508.0	7281.0	18157.0	4.0
18020589	1.0	"Dump Trump"	"DumpTrump22"	"Mr. Trump's finest qualities: Misogynist - Racist - Charlatan - Fear Monger - Confused and COMPLETELY DELUSIONAL"	False	"New York City"	40.71427	-74.00597	"United States"	"6252001"	"2008-12"	1906.0	1574.0	6179.0	439.0	48.0
19266287	0.0	"Conservative Carrie"	"carrielusch"	"I am a hard-working, gun toting, Ronald Reagan loving, tax paying, God believing, Fox News watching, troop supporting, anti-liberal, Oregon conservative girl."	False	"Portland, OR"	45.52345	-122.67621	"United States"	"6252001"	"2009-01"	1136.0	1957.0	655.0	85.0	21.0
